2024-11-24 00:02:32 | INFO | 开始浇水.
2024-11-24 00:02:40 | ERROR | 未获取到culture room
2024-11-24 00:02:40 | INFO | 开始向朋友浇水.
2024-11-24 00:02:40 | ERROR | request exception: Expecting value: line 1 column 1 (char 0)
2024-11-24 00:03:13 | INFO | 开始浇水.
2024-11-24 00:08:39 | WARNING | 浇水失败: seed_id: 48761626, seed_level: 1, message: {'status': None, 'message': ''}
2024-11-24 00:08:39 | INFO | 结束浇水.
2024-11-24 00:08:39 | INFO | 开始向朋友浇水.
2024-11-24 00:08:46 | INFO | 结束向朋友浇水.
2024-11-24 00:12:25 | INFO | 开始浇水.
2024-11-24 00:15:09 | INFO | 开始浇水.
2024-11-24 00:16:02 | INFO | 开始浇水.
2024-11-24 00:16:43 | INFO | 开始浇水.
2024-11-24 00:19:59 | INFO | 开始浇水.
2024-11-24 00:20:15 | WARNING | 浇水失败: seed_id: 48761626, seed_level: 1, water_limit_num: 3, water_done_num: 1, message: {'name': 'OK', 'message': 'Server error', 'code': -46002, 'status': 200}
2024-11-24 00:20:19 | INFO | 结束浇水.
2024-11-24 00:20:21 | INFO | 开始向朋友浇水.
2024-11-24 00:20:31 | INFO | 结束向朋友浇水.
